,0,1,2,3,4,5,6,7,8,9
0,4,133,5,228,24,129,0,419,34,4
1,0,862,1,152,0,70,0,5,24,21
2,0,179,200,364,7,23,0,259,0,0
3,0,65,2,800,3,15,0,121,0,4
4,0,101,1,141,122,31,0,565,4,17
5,0,55,1,221,2,451,0,156,0,6
6,0,212,38,233,23,162,24,239,21,6
7,0,44,2,151,0,10,0,815,0,6
8,0,42,1,561,8,128,0,153,72,9
9,0,30,0,323,18,36,0,510,3,89
