,0,1,2,3,4,5,6,7,8,9
0,434,25,11,80,25,101,0,66,235,3
1,1,512,3,337,1,82,0,0,190,9
2,0,17,858,79,3,14,0,45,16,0
3,0,1,1,971,0,21,0,6,9,1
4,1,6,8,90,732,40,0,63,35,7
5,0,4,1,80,11,772,0,15,7,2
6,11,27,44,131,36,148,420,54,87,0
7,0,3,7,164,9,12,0,787,36,10
8,1,2,6,148,20,75,0,13,706,3
9,1,2,8,348,76,34,0,57,103,380
