,0,1,2,3,4,5,6,7,8,9
0,391,0,0,12,0,221,30,0,308,18
1,0,723,2,69,3,333,0,0,1,4
2,0,0,570,406,1,46,0,4,3,2
3,0,0,115,729,1,163,0,1,0,1
4,0,0,0,2,448,40,3,3,0,486
5,0,1,1,52,0,818,2,0,3,15
6,7,0,0,2,17,78,618,5,34,197
7,0,5,30,542,1,409,0,4,0,37
8,6,0,3,131,0,708,6,0,81,39
9,0,2,0,22,27,322,0,2,0,634
