,0,1,2,3,4,5,6,7,8,9
0,409,0,1,69,2,33,231,0,255,0
1,10,26,2,262,9,232,9,0,450,0
2,31,0,23,12,26,125,264,0,519,0
3,17,0,1,472,8,117,45,0,340,0
4,14,0,12,43,54,124,155,0,598,0
5,0,0,0,0,0,1000,0,0,0,0
6,78,0,14,49,11,80,294,0,474,0
7,0,0,0,0,0,1000,0,0,0,0
8,5,0,0,1,0,575,11,0,408,0
9,0,0,0,0,0,1000,0,0,0,0
