,0,1,2,3,4,5,6,7,8,9
0,503,0,24,28,5,0,437,0,3,0
1,0,930,0,58,0,0,11,0,1,0
2,10,0,654,7,226,0,99,0,4,0
3,4,2,5,863,20,0,105,0,1,0
4,0,0,32,29,830,0,106,0,3,0
5,0,0,0,0,0,983,0,11,0,6
6,18,0,34,28,212,0,700,0,8,0
7,0,0,0,0,0,56,0,940,0,4
8,1,0,0,3,2,3,11,1,979,0
9,0,0,0,0,0,12,1,76,0,911
